# M nu b b_e b_emu pd pd_e box snap
9.481425e+13 2.011899e+00 2.528124e+00 9.668074e-03 2.533825e+00 -2.249803e-03 3.815604e-03 6 7
1.120059e+14 2.086560e+00 2.683050e+00 1.087508e-02 2.686424e+00 -1.255803e-03 4.048161e-03 6 7
1.339828e+14 2.171283e+00 2.864960e+00 1.195205e-02 2.864740e+00 7.694353e-05 4.172124e-03 6 7
1.625352e+14 2.268174e+00 3.077534e+00 1.383723e-02 3.074298e+00 1.052798e-03 4.500940e-03 6 7
2.001971e+14 2.379647e+00 3.298700e+00 1.580724e-02 3.322119e+00 -7.049559e-03 4.758179e-03 6 7
2.507643e+14 2.508906e+00 3.613972e+00 1.933451e-02 3.617187e+00 -8.890681e-04 5.345178e-03 6 7
3.193842e+14 2.658869e+00 3.981037e+00 2.651006e-02 3.971091e+00 2.504779e-03 6.675764e-03 6 7
4.147631e+14 2.835178e+00 4.435020e+00 3.315998e-02 4.398941e+00 8.201667e-03 7.538172e-03 6 7
5.500820e+14 3.044273e+00 4.957443e+00 4.727504e-02 4.920589e+00 7.489715e-03 9.607599e-03 6 7
7.434650e+14 3.291299e+00 5.519613e+00 7.057318e-02 5.562281e+00 -7.670970e-03 1.268781e-02 6 7
1.024691e+15 3.585251e+00 6.281739e+00 1.197365e-01 6.358919e+00 -1.213739e-02 1.882970e-02 6 7
1.554376e+15 4.022273e+00 7.505196e+00 2.684716e-01 7.561514e+00 -7.447932e-03 3.550500e-02 6 7
5.744000e+13 1.669028e+00 1.905679e+00 1.025910e-02 1.864040e+00 2.233794e-02 5.503692e-03 6 8
6.275875e+13 1.700088e+00 1.939115e+00 7.198551e-03 1.938705e+00 2.114871e-04 3.713071e-03 6 8
7.151820e+13 1.747443e+00 2.016535e+00 7.694508e-03 2.023895e+00 -3.636696e-03 3.801832e-03 6 8
8.236930e+13 1.800791e+00 2.102628e+00 7.856183e-03 2.121440e+00 -8.867820e-03 3.703231e-03 6 8
9.598012e+13 1.861198e+00 2.225470e+00 8.302143e-03 2.233559e+00 -3.621505e-03 3.717002e-03 6 8
1.130421e+14 1.929063e+00 2.328621e+00 9.281855e-03 2.362964e+00 -1.453377e-02 3.928056e-03 6 8
1.346144e+14 2.005432e+00 2.504350e+00 1.015296e-02 2.512989e+00 -3.437573e-03 4.040195e-03 6 8
1.624748e+14 2.092539e+00 2.672174e+00 1.107824e-02 2.687754e+00 -5.796898e-03 4.121745e-03 6 8
1.986205e+14 2.191536e+00 2.884471e+00 1.277030e-02 2.892406e+00 -2.743193e-03 4.415112e-03 6 8
2.466697e+14 2.305805e+00 3.101850e+00 1.578297e-02 3.133425e+00 -1.007684e-02 5.036971e-03 6 8
3.111034e+14 2.437615e+00 3.415050e+00 1.935426e-02 3.419033e+00 -1.165095e-03 5.660740e-03 6 8
3.989633e+14 2.590758e+00 3.752375e+00 2.304705e-02 3.759746e+00 -1.960515e-03 6.129949e-03 6 8
5.205530e+14 2.769584e+00 4.209952e+00 3.217003e-02 4.169130e+00 9.791389e-03 7.716245e-03 6 8
6.922717e+14 2.980509e+00 4.727610e+00 4.607737e-02 4.664809e+00 1.346262e-02 9.877654e-03 6 8
9.375242e+14 3.229580e+00 5.281468e+00 7.053789e-02 5.269816e+00 2.211132e-03 1.338527e-02 6 8
1.300338e+15 3.530805e+00 6.003250e+00 1.270664e-01 6.014350e+00 -1.845657e-03 2.112720e-02 6 8
1.957614e+15 3.962845e+00 7.079452e+00 2.539951e-01 7.124594e+00 -6.336075e-03 3.565046e-02 6 8
5.676000e+13 1.578051e+00 1.744160e+00 1.220497e-02 1.703869e+00 2.364622e-02 7.163087e-03 6 9
6.122781e+13 1.603102e+00 1.780933e+00 6.468131e-03 1.769695e+00 6.350460e-03 3.654942e-03 6 9
6.970722e+13 1.647325e+00 1.843866e+00 6.493934e-03 1.844476e+00 -3.307953e-04 3.520747e-03 6 9
8.015609e+13 1.696921e+00 1.924445e+00 7.229425e-03 1.929691e+00 -2.718421e-03 3.746417e-03 6 9
9.283545e+13 1.751393e+00 2.011589e+00 7.767067e-03 2.027110e+00 -7.656748e-03 3.831597e-03 6 9
1.086389e+14 1.812498e+00 2.124743e+00 7.992445e-03 2.138870e+00 -6.605124e-03 3.736760e-03 6 9
1.287709e+14 1.882033e+00 2.248933e+00 8.750816e-03 2.267572e+00 -8.219787e-03 3.859112e-03 6 9
1.543622e+14 1.960393e+00 2.398868e+00 9.936110e-03 2.416389e+00 -7.251018e-03 4.111966e-03 6 9
1.873745e+14 2.049343e+00 2.574212e+00 1.073000e-02 2.589224e+00 -5.797841e-03 4.144097e-03 6 9
2.304325e+14 2.150635e+00 2.778871e+00 1.228749e-02 2.790929e+00 -4.320735e-03 4.402652e-03 6 9
2.874791e+14 2.266838e+00 3.012339e+00 1.458211e-02 3.027567e+00 -5.029652e-03 4.816447e-03 6 9
3.643206e+14 2.401166e+00 3.323890e+00 1.861133e-02 3.306775e+00 5.175758e-03 5.628241e-03 6 9
4.690741e+14 2.556886e+00 3.649507e+00 2.328083e-02 3.638256e+00 3.092236e-03 6.398898e-03 6 9
6.142886e+14 2.738756e+00 4.082585e+00 3.133883e-02 4.034428e+00 1.193629e-02 7.767850e-03 6 9
8.178219e+14 2.951570e+00 4.570898e+00 4.542255e-02 4.511281e+00 1.321499e-02 1.006866e-02 6 9
1.110999e+15 3.204982e+00 5.146311e+00 7.195148e-02 5.089497e+00 1.116298e-02 1.413725e-02 6 9
